Density,Process,Growth Form,Size Class,Treatment Method,Terrain,PPD
15.00,Follow-up,Creeper,Young,Foliar Spray,Landscape,0.72000
15.00,Follow-up,Grass,Adult,Cut & Spray,Riparian,0.86000
15.00,Follow-up,Grass,Adult,Cut & Spray,Landscape,0.86000
15.00,Follow-up,Grass,Seedling,Hand pull,Riparian,0.72000
15.00,Follow-up,Grass,Seedling,Hand pull,Landscape,0.72000
15.00,Follow-up,Grass,Young,Foliar Spray,Riparian,0.57500
15.00,Follow-up,Grass,Young,Foliar Spray,Landscape,0.57500
15.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Riparian,0.72000
15.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Landscape,0.72000
15.00,Follow-up,Herbaceous,Adult,Cut & Spray,Riparian,1.29500
15.00,Follow-up,Herbaceous,Adult,Cut & Spray,Landscape,0.86000
15.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Landscape,0.86000
15.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Riparian,1.29500
15.00,Follow-up,Herbaceous,Seedling,Hand pull,Riparian,0.72000
15.00,Follow-up,Herbaceous,Seedling,Hand pull,Landscape,0.72000
15.00,Follow-up,Herbaceous,Young,Cut below ground,Riparian,0.86000
15.00,Follow-up,Herbaceous,Young,Cut below ground,Landscape,0.86000
15.00,Follow-up,Herbaceous,Young,Foliar Spray,Riparian,0.72000
15.00,Follow-up,Herbaceous,Young,Foliar Spray,Landscape,0.72000
15.00,Follow-up,Non sprouting tree,Adult,Felling,Riparian,2.87500
15.00,Follow-up,Non sprouting tree,Adult,Felling,Landscape,1.91500
15.00,Follow-up,Non sprouting tree,Adult,Ring bark,Riparian,1.39000
15.00,Follow-up,Non sprouting tree,Adult,Ring bark,Landscape,1.39000
15.00,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Riparian,0.57500
15.00,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Landscape,0.57500
15.00,Follow-up,Non sprouting tree,Seedling,Hand pull,Riparian,0.72000
15.00,Follow-up,Non sprouting tree,Seedling,Hand pull,Landscape,0.72000
15.00,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Riparian,1.29500
15.00,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Landscape,0.86000
15.00,Follow-up,Sprouting tree,Adult,Bark Strip,Landscape,2.01000
15.00,Follow-up,Sprouting tree,Adult,Bark Strip,Riparian,2.01000
15.00,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Riparian,0.72000
15.00,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Landscape,0.72000
15.00,Follow-up,Sprouting tree,Adult,Cut stump,Riparian,4.16500
15.00,Follow-up,Sprouting tree,Adult,Cut stump,Landscape,2.78000
15.00,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Riparian,4.16500
15.00,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Landscape,2.78000
15.00,Follow-up,Sprouting tree,Adult,Cut stump + oil,Riparian,4.16500
15.00,Follow-up,Sprouting tree,Adult,Cut stump + oil,Landscape,2.78000
15.00,Follow-up,Sprouting tree,Adult,Frill,Riparian,2.01000
15.00,Follow-up,Sprouting tree,Adult,Frill,Landscape,2.01000
15.00,Follow-up,Sprouting tree,Seedling,Foliar Spray,Riparian,0.57500
15.00,Follow-up,Sprouting tree,Seedling,Foliar Spray,Landscape,0.57500
15.00,Follow-up,Sprouting tree,Seedling,Hand pull,Riparian,0.72000
15.00,Follow-up,Sprouting tree,Seedling,Hand pull,Landscape,0.72000
15.00,Follow-up,Sprouting tree,Young,Bark Strip,Riparian,1.91500
15.00,Follow-up,Sprouting tree,Young,Bark Strip,Landscape,1.91500
15.00,Follow-up,Sprouting tree,Young,Basal Stem + diesel,Riparian,0.72000
15.00,Follow-up,Sprouting tree,Young,Basal Stem + diesel,Landscape,0.72000
15.00,Follow-up,Sprouting tree,Young,Lopping / Pruning,Riparian,1.86500
15.00,Follow-up,Sprouting tree,Young,Lopping / Pruning,Landscape,1.24500
15.00,Initial,All,All,Soil application,Riparian,0.86000
15.00,Initial,All,All,Soil application,Landscape,0.86000
15.00,Initial,Aquatic weed,All,Manual Removal,Riparian,4.25000
15.00,Initial,Aquatic weed,All,Manual Removal,Landscape,4.25000
15.00,Initial,Aquatic weed,All,Spray from boat,Riparian,0.70000
15.00,Initial,Aquatic weed,All,Spray from boat,Landscape,0.70000
15.00,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,1.32500
15.00,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,1.32500
15.00,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,2.65000
15.00,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,2.65000
15.00,Initial,Cactus,Adult,Cut & Spray,Riparian,1.29500
15.00,Initial,Cactus,Adult,Cut & Spray,Landscape,0.86000
15.00,Initial,Cactus,Adult,Stem inject,Riparian,0.86000
15.00,Initial,Cactus,Adult,Stem inject,Landscape,0.86000
15.00,Initial,Cactus,Seedling,Dig out and burn,Riparian,0.86000
15.00,Initial,Cactus,Seedling,Dig out and burn,Landscape,0.86000
15.00,Initial,Cactus,Seedling,Hand pull,Riparian,0.72000
15.00,Initial,Cactus,Seedling,Hand pull,Landscape,0.72000
15.00,Initial,Cactus,Young,Foliar Spray,Riparian,0.72000
15.00,Initial,Cactus,Young,Foliar Spray,Landscape,0.72000
15.00,Initial,Cactus,Young,Stem inject,Riparian,0.72000
15.00,Initial,Cactus,Young,Stem inject,Landscape,0.72000
15.00,Initial,Creeper,Adult,Basal Stem + diesel,Riparian,0.72000
15.00,Initial,Creeper,Adult,Basal Stem + diesel,Landscape,0.72000
15.00,Initial,Creeper,Adult,Cut & Spray,Riparian,1.29500
15.00,Initial,Creeper,Adult,Cut & Spray,Landscape,0.86000
15.00,Initial,Creeper,Adult,Cut & Spray + diesel,Riparian,1.29500
15.00,Initial,Creeper,Adult,Cut & Spray + diesel,Landscape,0.86000
15.00,Initial,Creeper,Seedling,Hand pull,Riparian,0.72000
15.00,Initial,Creeper,Seedling,Hand pull,Landscape,0.72000
15.00,Initial,Creeper,Young,Foliar Spray,Riparian,0.72000
15.00,Initial,Creeper,Young,Foliar Spray,Landscape,0.72000
15.00,Initial,Grass,Adult,Cut & Spray,Riparian,0.86000
15.00,Initial,Grass,Adult,Cut & Spray,Landscape,0.86000
15.00,Initial,Grass,Seedling,Hand pull,Riparian,0.72000
15.00,Initial,Grass,Seedling,Hand pull,Landscape,0.72000
15.00,Initial,Grass,Young,Foliar Spray,Riparian,0.57500
15.00,Initial,Grass,Young,Foliar Spray,Landscape,0.57500
15.00,Initial,Herbaceous,Adult,Basal Stem + diesel,Riparian,0.72000
15.00,Initial,Herbaceous,Adult,Basal Stem + diesel,Landscape,0.72000
15.00,Initial,Herbaceous,Adult,Cut & Spray,Riparian,1.29500
15.00,Initial,Herbaceous,Adult,Cut & Spray,Landscape,0.86000
15.00,Initial,Herbaceous,Adult,Cut & Spray + diesel,Landscape,0.86000
15.00,Initial,Herbaceous,Adult,Cut & Spray + diesel,Riparian,1.29500
15.00,Initial,Herbaceous,Seedling,Hand pull,Riparian,0.72000
15.00,Initial,Herbaceous,Seedling,Hand pull,Landscape,0.72000
15.00,Initial,Herbaceous,Young,Cut below ground,Riparian,0.86000
15.00,Initial,Herbaceous,Young,Cut below ground,Landscape,0.86000
15.00,Initial,Herbaceous,Young,Foliar Spray,Riparian,0.72000
15.00,Initial,Herbaceous,Young,Foliar Spray,Landscape,0.72000
15.00,Initial,Non sprouting tree,Adult,Felling,Riparian,2.87500
15.00,Initial,Non sprouting tree,Adult,Felling,Landscape,1.91500
15.00,Initial,Non sprouting tree,Adult,Ring bark,Riparian,1.39000
15.00,Initial,Non sprouting tree,Adult,Ring bark,Landscape,1.39000
15.00,Initial,Non sprouting tree,Seedling,Foliar Spray,Riparian,0.57500
15.00,Initial,Non sprouting tree,Seedling,Foliar Spray,Landscape,0.57500
15.00,Initial,Non sprouting tree,Seedling,Hand pull,Riparian,0.72000
15.00,Initial,Non sprouting tree,Seedling,Hand pull,Landscape,0.72000
15.00,Initial,Non sprouting tree,Young,Lopping / Pruning,Riparian,1.29500
15.00,Initial,Non sprouting tree,Young,Lopping / Pruning,Landscape,0.86000
15.00,Initial,Sprouting tree,Adult,Bark Strip,Landscape,2.01000
15.00,Initial,Sprouting tree,Adult,Bark Strip,Riparian,2.01000
15.00,Initial,Sprouting tree,Adult,Basal Stem + diesel,Riparian,0.72000
15.00,Initial,Sprouting tree,Adult,Basal Stem + diesel,Landscape,0.72000
15.00,Initial,Sprouting tree,Adult,Cut stump,Riparian,4.16500
15.00,Initial,Sprouting tree,Adult,Cut stump,Landscape,2.78000
15.00,Initial,Sprouting tree,Adult,Cut stump + diesel,Riparian,4.16500
15.00,Initial,Sprouting tree,Adult,Cut stump + diesel,Landscape,2.78000
15.00,Initial,Sprouting tree,Adult,Cut stump + oil,Riparian,4.16500
15.00,Initial,Sprouting tree,Adult,Cut stump + oil,Landscape,2.78000
15.00,Initial,Sprouting tree,Adult,Frill,Riparian,2.01000
15.00,Initial,Sprouting tree,Adult,Frill,Landscape,2.01000
15.00,Initial,Sprouting tree,Seedling,Foliar Spray,Riparian,0.57500
15.00,Initial,Sprouting tree,Seedling,Foliar Spray,Landscape,0.57500
15.00,Initial,Sprouting tree,Seedling,Hand pull,Riparian,0.72000
15.00,Initial,Sprouting tree,Seedling,Hand pull,Landscape,0.72000
15.00,Initial,Sprouting tree,Young,Bark Strip,Riparian,1.91500
15.00,Initial,Sprouting tree,Young,Bark Strip,Landscape,1.91500
15.00,Initial,Sprouting tree,Young,Basal Stem + diesel,Riparian,0.72000
15.00,Initial,Sprouting tree,Young,Basal Stem + diesel,Landscape,0.72000
15.00,Initial,Sprouting tree,Young,Lopping / Pruning,Riparian,1.86500
15.00,Initial,Sprouting tree,Young,Lopping / Pruning,Landscape,1.24500
16.00,Follow-up,All,All,Soil application,Riparian,0.89100
16.00,Follow-up,All,All,Soil application,Landscape,0.89100
16.00,Follow-up,Aquatic weed,All,Manual Removal,Riparian,4.31500
16.00,Follow-up,Aquatic weed,All,Manual Removal,Landscape,4.31500
16.00,Follow-up,Aquatic weed,All,Spray from boat,Riparian,0.71000
16.00,Follow-up,Aquatic weed,All,Spray from boat,Landscape,0.71000
16.00,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,1.33750
16.00,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,1.33750
16.00,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,2.67500
16.00,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,2.67500
16.00,Follow-up,Cactus,Adult,Cut & Spray,Riparian,1.34150
16.00,Follow-up,Cactus,Adult,Cut & Spray,Landscape,0.89100
16.00,Follow-up,Cactus,Adult,Stem inject,Riparian,0.89100
16.00,Follow-up,Cactus,Adult,Stem inject,Landscape,0.89100
16.00,Follow-up,Cactus,Seedling,Dig out and burn,Riparian,0.89100
16.00,Follow-up,Cactus,Seedling,Dig out and burn,Landscape,0.89100
16.00,Follow-up,Cactus,Seedling,Hand pull,Riparian,0.75800
16.00,Follow-up,Cactus,Seedling,Hand pull,Landscape,0.75800
16.00,Follow-up,Cactus,Young,Foliar Spray,Riparian,0.75800
16.00,Follow-up,Cactus,Young,Foliar Spray,Landscape,0.75800
16.00,Follow-up,Cactus,Young,Stem inject,Riparian,0.75800
16.00,Follow-up,Cactus,Young,Stem inject,Landscape,0.75800
16.00,Follow-up,Creeper,Adult,Basal Stem + diesel,Riparian,0.75800
16.00,Follow-up,Creeper,Adult,Basal Stem + diesel,Landscape,0.75800
16.00,Follow-up,Creeper,Adult,Cut & Spray,Riparian,1.34150
16.00,Follow-up,Creeper,Adult,Cut & Spray,Landscape,0.89100
16.00,Follow-up,Creeper,Adult,Cut & Spray + diesel,Riparian,1.34150
16.00,Follow-up,Creeper,Adult,Cut & Spray + diesel,Landscape,0.89100
16.00,Follow-up,Creeper,Seedling,Hand pull,Riparian,0.75800
16.00,Follow-up,Creeper,Seedling,Hand pull,Landscape,0.75800
16.00,Follow-up,Creeper,Young,Foliar Spray,Riparian,0.75800
16.00,Follow-up,Creeper,Young,Foliar Spray,Landscape,0.75800
16.00,Follow-up,Grass,Adult,Cut & Spray,Riparian,0.89100
16.00,Follow-up,Grass,Adult,Cut & Spray,Landscape,0.89100
16.00,Follow-up,Grass,Seedling,Hand pull,Riparian,0.75800
16.00,Follow-up,Grass,Seedling,Hand pull,Landscape,0.75800
16.00,Follow-up,Grass,Young,Foliar Spray,Riparian,0.60550
16.00,Follow-up,Grass,Young,Foliar Spray,Landscape,0.60550
16.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Riparian,0.75800
16.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Landscape,0.75800
16.00,Follow-up,Herbaceous,Adult,Cut & Spray,Riparian,1.34150
16.00,Follow-up,Herbaceous,Adult,Cut & Spray,Landscape,0.89100
16.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Riparian,1.34150
16.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Landscape,0.89100
16.00,Follow-up,Herbaceous,Seedling,Hand pull,Riparian,0.75800
16.00,Follow-up,Herbaceous,Seedling,Hand pull,Landscape,0.75800
16.00,Follow-up,Herbaceous,Young,Cut below ground,Riparian,0.89100
16.00,Follow-up,Herbaceous,Young,Cut below ground,Landscape,0.89100
16.00,Follow-up,Herbaceous,Young,Foliar Spray,Riparian,0.75800
16.00,Follow-up,Herbaceous,Young,Foliar Spray,Landscape,0.75800
16.00,Follow-up,Non sprouting tree,Adult,Felling,Riparian,3.02750
16.00,Follow-up,Non sprouting tree,Adult,Felling,Landscape,2.01650
16.00,Follow-up,Non sprouting tree,Adult,Ring bark,Riparian,1.45600
16.00,Follow-up,Non sprouting tree,Adult,Ring bark,Landscape,1.45600
16.00,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Riparian,0.60550
16.00,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Landscape,0.60550
16.00,Follow-up,Non sprouting tree,Seedling,Hand pull,Riparian,0.75800
16.00,Follow-up,Non sprouting tree,Seedling,Hand pull,Landscape,0.75800
16.00,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Riparian,1.34150
16.00,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Landscape,0.89100
16.00,Follow-up,Sprouting tree,Adult,Bark Strip,Landscape,2.10600
16.00,Follow-up,Sprouting tree,Adult,Bark Strip,Riparian,2.10600
16.00,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Riparian,0.75800
16.00,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Landscape,0.75800
16.00,Follow-up,Sprouting tree,Adult,Cut stump,Riparian,4.38550
16.00,Follow-up,Sprouting tree,Adult,Cut stump,Landscape,2.92700
16.00,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Riparian,4.38550
16.00,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Landscape,2.92700
16.00,Follow-up,Sprouting tree,Adult,Cut stump + oil,Riparian,4.38550
16.00,Follow-up,Sprouting tree,Adult,Cut stump + oil,Landscape,2.92700
16.00,Follow-up,Sprouting tree,Adult,Frill,Riparian,2.10600
16.00,Follow-up,Sprouting tree,Adult,Frill,Landscape,2.10600
16.00,Follow-up,Sprouting tree,Seedling,Foliar Spray,Riparian,0.60550
16.00,Follow-up,Sprouting tree,Seedling,Foliar Spray,Landscape,0.60550
16.00,Follow-up,Sprouting tree,Seedling,Hand pull,Riparian,0.75800
16.00,Follow-up,Sprouting tree,Seedling,Hand pull,Landscape,0.75800
16.00,Follow-up,Sprouting tree,Young,Bark Strip,Riparian,2.01650
16.00,Follow-up,Sprouting tree,Young,Bark Strip,Landscape,2.01650
16.00,Follow-up,Sprouting tree,Young,Basal Stem + diesel,Riparian,0.75800
16.00,Follow-up,Sprouting tree,Young,Basal Stem + diesel,Landscape,0.75800
16.00,Follow-up,Sprouting tree,Young,Lopping / Pruning,Riparian,1.93250
16.00,Follow-up,Sprouting tree,Young,Lopping / Pruning,Landscape,1.28950
16.00,Initial,All,All,Soil application,Riparian,0.89100
16.00,Initial,All,All,Soil application,Landscape,0.89100
16.00,Initial,Aquatic weed,All,Manual Removal,Riparian,4.31500
16.00,Initial,Aquatic weed,All,Manual Removal,Landscape,4.31500
16.00,Initial,Aquatic weed,All,Spray from boat,Riparian,0.71000
16.00,Initial,Aquatic weed,All,Spray from boat,Landscape,0.71000
16.00,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,1.33750
16.00,Initial,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,1.33750
16.00,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,2.67500
16.00,Initial,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,2.67500
16.00,Initial,Cactus,Adult,Cut & Spray,Riparian,1.34150
16.00,Initial,Cactus,Adult,Cut & Spray,Landscape,0.89100
16.00,Initial,Cactus,Adult,Stem inject,Riparian,0.89100
16.00,Initial,Cactus,Adult,Stem inject,Landscape,0.89100
16.00,Initial,Cactus,Seedling,Dig out and burn,Riparian,0.89100
16.00,Initial,Cactus,Seedling,Dig out and burn,Landscape,0.89100
16.00,Initial,Cactus,Seedling,Hand pull,Riparian,0.75800
16.00,Initial,Cactus,Seedling,Hand pull,Landscape,0.75800
16.00,Initial,Cactus,Young,Foliar Spray,Riparian,0.75800
16.00,Initial,Cactus,Young,Foliar Spray,Landscape,0.75800
16.00,Initial,Cactus,Young,Stem inject,Riparian,0.75800
16.00,Initial,Cactus,Young,Stem inject,Landscape,0.75800
16.00,Initial,Creeper,Adult,Basal Stem + diesel,Riparian,0.75800
16.00,Initial,Creeper,Adult,Basal Stem + diesel,Landscape,0.75800
16.00,Initial,Creeper,Adult,Cut & Spray,Riparian,1.34150
16.00,Initial,Creeper,Adult,Cut & Spray,Landscape,0.89100
16.00,Initial,Creeper,Adult,Cut & Spray + diesel,Riparian,1.34150
16.00,Initial,Creeper,Adult,Cut & Spray + diesel,Landscape,0.89100
16.00,Initial,Creeper,Seedling,Hand pull,Riparian,0.75800
16.00,Initial,Creeper,Seedling,Hand pull,Landscape,0.75800
16.00,Initial,Creeper,Young,Foliar Spray,Riparian,0.75800
16.00,Initial,Creeper,Young,Foliar Spray,Landscape,0.75800
16.00,Initial,Grass,Adult,Cut & Spray,Riparian,0.89100
16.00,Initial,Grass,Adult,Cut & Spray,Landscape,0.89100
16.00,Initial,Grass,Seedling,Hand pull,Riparian,0.75800
16.00,Initial,Grass,Seedling,Hand pull,Landscape,0.75800
16.00,Initial,Grass,Young,Foliar Spray,Riparian,0.60550
16.00,Initial,Grass,Young,Foliar Spray,Landscape,0.60550
16.00,Initial,Herbaceous,Adult,Basal Stem + diesel,Riparian,0.75800
16.00,Initial,Herbaceous,Adult,Basal Stem + diesel,Landscape,0.75800
16.00,Initial,Herbaceous,Adult,Cut & Spray,Riparian,1.34150
16.00,Initial,Herbaceous,Adult,Cut & Spray,Landscape,0.89100
16.00,Initial,Herbaceous,Adult,Cut & Spray + diesel,Landscape,0.89100
16.00,Initial,Herbaceous,Adult,Cut & Spray + diesel,Riparian,1.34150
16.00,Initial,Herbaceous,Seedling,Hand pull,Riparian,0.75800
16.00,Initial,Herbaceous,Seedling,Hand pull,Landscape,0.75800
16.00,Initial,Herbaceous,Young,Cut below ground,Riparian,0.89100
16.00,Initial,Herbaceous,Young,Cut below ground,Landscape,0.89100
16.00,Initial,Herbaceous,Young,Foliar Spray,Riparian,0.75800
16.00,Initial,Herbaceous,Young,Foliar Spray,Landscape,0.75800
16.00,Initial,Non sprouting tree,Adult,Felling,Riparian,3.02750
16.00,Initial,Non sprouting tree,Adult,Felling,Landscape,2.01650
16.00,Initial,Non sprouting tree,Adult,Ring bark,Riparian,1.45600
16.00,Initial,Non sprouting tree,Adult,Ring bark,Landscape,1.45600
16.00,Initial,Non sprouting tree,Seedling,Foliar Spray,Riparian,0.60550
16.00,Initial,Non sprouting tree,Seedling,Foliar Spray,Landscape,0.60550
16.00,Initial,Non sprouting tree,Seedling,Hand pull,Riparian,0.75800
16.00,Initial,Non sprouting tree,Seedling,Hand pull,Landscape,0.75800
16.00,Initial,Non sprouting tree,Young,Lopping / Pruning,Riparian,1.34150
16.00,Initial,Non sprouting tree,Young,Lopping / Pruning,Landscape,0.89100
16.00,Initial,Sprouting tree,Adult,Bark Strip,Landscape,2.10600
16.00,Initial,Sprouting tree,Adult,Bark Strip,Riparian,2.10600
16.00,Initial,Sprouting tree,Adult,Basal Stem + diesel,Riparian,0.75800
16.00,Initial,Sprouting tree,Adult,Basal Stem + diesel,Landscape,0.75800
16.00,Initial,Sprouting tree,Adult,Cut stump,Riparian,4.38550
16.00,Initial,Sprouting tree,Adult,Cut stump,Landscape,2.92700
16.00,Initial,Sprouting tree,Adult,Cut stump + diesel,Riparian,4.38550
16.00,Initial,Sprouting tree,Adult,Cut stump + diesel,Landscape,2.92700
16.00,Initial,Sprouting tree,Adult,Cut stump + oil,Riparian,4.38550
16.00,Initial,Sprouting tree,Adult,Cut stump + oil,Landscape,2.92700
16.00,Initial,Sprouting tree,Adult,Frill,Riparian,2.10600
16.00,Initial,Sprouting tree,Adult,Frill,Landscape,2.10600
16.00,Initial,Sprouting tree,Seedling,Foliar Spray,Riparian,0.60550
16.00,Initial,Sprouting tree,Seedling,Foliar Spray,Landscape,0.60550
16.00,Initial,Sprouting tree,Seedling,Hand pull,Riparian,0.75800
16.00,Initial,Sprouting tree,Seedling,Hand pull,Landscape,0.75800
16.00,Initial,Sprouting tree,Young,Bark Strip,Riparian,2.01650
16.00,Initial,Sprouting tree,Young,Bark Strip,Landscape,2.01650
16.00,Initial,Sprouting tree,Young,Basal Stem + diesel,Riparian,0.75800
16.00,Initial,Sprouting tree,Young,Basal Stem + diesel,Landscape,0.75800
16.00,Initial,Sprouting tree,Young,Lopping / Pruning,Riparian,1.93250
16.00,Initial,Sprouting tree,Young,Lopping / Pruning,Landscape,1.28950
17.00,Follow-up,All,All,Soil application,Riparian,0.92200
17.00,Follow-up,All,All,Soil application,Landscape,0.92200
17.00,Follow-up,Aquatic weed,All,Manual Removal,Riparian,4.38000
17.00,Follow-up,Aquatic weed,All,Manual Removal,Landscape,4.38000
17.00,Follow-up,Aquatic weed,All,Spray from boat,Riparian,0.72000
17.00,Follow-up,Aquatic weed,All,Spray from boat,Landscape,0.72000
17.00,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Riparian,1.35000
17.00,Follow-up,Aquatic weed,All,Spray from shoreline (bakkie sakkie),Landscape,1.35000
17.00,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Riparian,2.70000
17.00,Follow-up,Aquatic weed,All,Spray from shoreline (knapsack),Landscape,2.70000
17.00,Follow-up,Cactus,Adult,Cut & Spray,Riparian,1.38800
17.00,Follow-up,Cactus,Adult,Cut & Spray,Landscape,0.92200
17.00,Follow-up,Cactus,Adult,Stem inject,Riparian,0.92200
17.00,Follow-up,Cactus,Adult,Stem inject,Landscape,0.92200
17.00,Follow-up,Cactus,Seedling,Dig out and burn,Riparian,0.92200
17.00,Follow-up,Cactus,Seedling,Dig out and burn,Landscape,0.92200
17.00,Follow-up,Cactus,Seedling,Hand pull,Riparian,0.79600
17.00,Follow-up,Cactus,Seedling,Hand pull,Landscape,0.79600
17.00,Follow-up,Cactus,Young,Foliar Spray,Riparian,0.79600
17.00,Follow-up,Cactus,Young,Foliar Spray,Landscape,0.79600
17.00,Follow-up,Cactus,Young,Stem inject,Riparian,0.79600
17.00,Follow-up,Cactus,Young,Stem inject,Landscape,0.79600
17.00,Follow-up,Creeper,Adult,Basal Stem + diesel,Riparian,0.79600
17.00,Follow-up,Creeper,Adult,Basal Stem + diesel,Landscape,0.79600
17.00,Follow-up,Creeper,Adult,Cut & Spray,Riparian,1.38800
17.00,Follow-up,Creeper,Adult,Cut & Spray,Landscape,0.92200
17.00,Follow-up,Creeper,Adult,Cut & Spray + diesel,Riparian,1.38800
17.00,Follow-up,Creeper,Adult,Cut & Spray + diesel,Landscape,0.92200
17.00,Follow-up,Creeper,Seedling,Hand pull,Riparian,0.79600
17.00,Follow-up,Creeper,Seedling,Hand pull,Landscape,0.79600
17.00,Follow-up,Creeper,Young,Foliar Spray,Riparian,0.79600
17.00,Follow-up,Creeper,Young,Foliar Spray,Landscape,0.79600
17.00,Follow-up,Grass,Adult,Cut & Spray,Riparian,0.92200
17.00,Follow-up,Grass,Adult,Cut & Spray,Landscape,0.92200
17.00,Follow-up,Grass,Seedling,Hand pull,Riparian,0.79600
17.00,Follow-up,Grass,Seedling,Hand pull,Landscape,0.79600
17.00,Follow-up,Grass,Young,Foliar Spray,Riparian,0.63600
17.00,Follow-up,Grass,Young,Foliar Spray,Landscape,0.63600
17.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Riparian,0.79600
17.00,Follow-up,Herbaceous,Adult,Basal Stem + diesel,Landscape,0.79600
17.00,Follow-up,Herbaceous,Adult,Cut & Spray,Riparian,1.38800
17.00,Follow-up,Herbaceous,Adult,Cut & Spray,Landscape,0.92200
17.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Riparian,1.38800
17.00,Follow-up,Herbaceous,Adult,Cut & Spray + diesel,Landscape,0.92200
17.00,Follow-up,Herbaceous,Seedling,Hand pull,Riparian,0.79600
17.00,Follow-up,Herbaceous,Seedling,Hand pull,Landscape,0.79600
17.00,Follow-up,Herbaceous,Young,Cut below ground,Riparian,0.92200
17.00,Follow-up,Herbaceous,Young,Cut below ground,Landscape,0.92200
17.00,Follow-up,Herbaceous,Young,Foliar Spray,Riparian,0.79600
17.00,Follow-up,Herbaceous,Young,Foliar Spray,Landscape,0.79600
17.00,Follow-up,Non sprouting tree,Adult,Felling,Riparian,3.18000
17.00,Follow-up,Non sprouting tree,Adult,Felling,Landscape,2.11800
17.00,Follow-up,Non sprouting tree,Adult,Ring bark,Riparian,1.52200
17.00,Follow-up,Non sprouting tree,Adult,Ring bark,Landscape,1.52200
17.00,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Riparian,0.63600
17.00,Follow-up,Non sprouting tree,Seedling,Foliar Spray,Landscape,0.63600
17.00,Follow-up,Non sprouting tree,Seedling,Hand pull,Riparian,0.79600
17.00,Follow-up,Non sprouting tree,Seedling,Hand pull,Landscape,0.79600
17.00,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Riparian,1.38800
17.00,Follow-up,Non sprouting tree,Young,Lopping / Pruning,Landscape,0.92200
17.00,Follow-up,Sprouting tree,Adult,Bark Strip,Landscape,2.20200
17.00,Follow-up,Sprouting tree,Adult,Bark Strip,Riparian,2.20200
17.00,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Riparian,0.79600
17.00,Follow-up,Sprouting tree,Adult,Basal Stem + diesel,Landscape,0.79600
17.00,Follow-up,Sprouting tree,Adult,Cut stump,Riparian,4.60600
17.00,Follow-up,Sprouting tree,Adult,Cut stump,Landscape,3.07400
17.00,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Riparian,4.60600
17.00,Follow-up,Sprouting tree,Adult,Cut stump + diesel,Landscape,3.07400
17.00,Follow-up,Sprouting tree,Adult,Cut stump + oil,Riparian,4.60600
17.00,Follow-up,Sprouting tree,Adult,Cut stump + oil,Landscape,3.07400
17.00,Follow-up,Sprouting tree,Adult,Frill,Riparian,2.20200
17.00,Follow-up,Sprouting tree,Adult,Frill,Landscape,2.20200
